"tre_cn","prev_tre_cn","plt_cn.re","plot_id","tree_status.re","species","dbh_in.re","plt_cn.init","tree_status.init","dbh_in.init"
"44718320020004","23709146010900","48204842010497","6-2-35-53400","live","ABCO",10,"23709013010900","live",9.6
"44718321020004","23709148010900","48204842010497","6-2-35-53400","live","ABCO",7.7,"23709013010900","live",7.3
"44718322020004","23709065010900","48204842010497","6-2-35-53400","live","ABCO",8.4,"23709013010900","live",7.6
"44718323020004","23709041010900","48204842010497","6-2-35-53400","live","ABCO",10.4,"23709013010900","live",9.8
"44718324020004","23709043010900","48204842010497","6-2-35-53400","live","PILA",15.1,"23709013010900","live",13.9
"44718325020004","23709045010900","48204842010497","6-2-35-53400","live","ABCO",5.8,"23709013010900","live",5.2
"44718326020004","23709047010900","48204842010497","6-2-35-53400","live","ABCO",14.3,"23709013010900","live",12.9
"44718327020004","23709049010900","48204842010497","6-2-35-53400","live","ABCO",40.6,"23709013010900","live",39.5
"44718328020004","23709051010900","48204842010497","6-2-35-53400","live","OTHER",7.5,"23709013010900","live",7.2
"44718329020004","23709053010900","48204842010497","6-2-35-53400","live","ABCO",5.7,"23709013010900","live",5.3
"44718330020004","23709055010900","48204842010497","6-2-35-53400","live","ABCO",14.4,"23709013010900","live",13.5
"44718331020004","23709057010900","48204842010497","6-2-35-53400","live","PSME",16,"23709013010900","live",14.4
"44718332020004","23709059010900","48204842010497","6-2-35-53400","live","ABCO",8.4,"23709013010900","live",7.9
"44718333020004","23709061010900","48204842010497","6-2-35-53400","live","OTHER",32.5,"23709013010900","live",31.9
"44718334020004","23709063010900","48204842010497","6-2-35-53400","live","ABCO",6.3,"23709013010900","live",5.7
"44791265020004","23677791010900","48203416010497","6-2-35-97184","live","PIPO",36.6,"23677726010900","live",35.3
"44791266020004","23677793010900","48203416010497","6-2-35-97184","live","ABCO",11.9,"23677726010900","live",9.9
"44791268020004","23677797010900","48203416010497","6-2-35-97184","live","ABCO",15.2,"23677726010900","live",14
"44791269020004","23677799010900","48203416010497","6-2-35-97184","live","ABCO",20.5,"23677726010900","live",18.3
"44791270020004","23677767010900","48203416010497","6-2-35-97184","live","ABCO",15.1,"23677726010900","live",12.1
"44791271020004","23677769010900","48203416010497","6-2-35-97184","live","ABCO",16.2,"23677726010900","live",13.5
"44791272020004","23677771010900","48203416010497","6-2-35-97184","live","ABCO",20.4,"23677726010900","live",18
"44791273020004","23677773010900","48203416010497","6-2-35-97184","live","ABCO",12.6,"23677726010900","live",10.6
"44791274020004","23677775010900","48203416010497","6-2-35-97184","live","ABCO",12.2,"23677726010900","live",10.4
"44791276020004","23677779010900","48203416010497","6-2-35-97184","live","ABCO",15.9,"23677726010900","live",13.9
"44791277020004","23677781010900","48203416010497","6-2-35-97184","live","ABCO",13.7,"23677726010900","live",11.5
"44791279020004","23677783010900","48203416010497","6-2-35-97184","live","ABCO",23.5,"23677726010900","live",21
"44791280020004","23677785010900","48203416010497","6-2-35-97184","live","ABCO",8.2,"23677726010900","live",5.9
"44791281020004","23677787010900","48203416010497","6-2-35-97184","live","ABCO",22.4,"23677726010900","live",20.1
"44791283020004","23677761010900","48203416010497","6-2-35-97184","live","ABCO",14.4,"23677726010900","live",12.7
"44791284020004","23677763010900","48203416010497","6-2-35-97184","live","ABCO",14.8,"23677726010900","live",13.1
"44791287020004","23677765010900","48203416010497","6-2-35-97184","live","ABCO",18.5,"23677726010900","live",17.1
"44791288020004","23677751010900","48203416010497","6-2-35-97184","live","ABCO",11.6,"23677726010900","live",9.9
"44791289020004","23677753010900","48203416010497","6-2-35-97184","live","OTHER",33.2,"23677726010900","live",31
"44791290020004","23677755010900","48203416010497","6-2-35-97184","live","ABCO",18.8,"23677726010900","live",16.4
"44791291020004","23677757010900","48203416010497","6-2-35-97184","live","PILA",6.7,"23677726010900","live",5.3
